Date,price,daily_return,signals,cash,positions,wealth
2023-01-03,63.75825500488281,1.0,0,1000.0,0.0,1000.0
2023-01-04,63.275169372558594,-0.007576832714245696,0,1000.0,0.0,1000.0
2023-01-05,63.212554931640625,-0.00098955785561472,0,1000.0,0.0,1000.0
2023-01-06,64.81388092041016,0.025332404148214582,0,1000.0,0.0,1000.0
2023-01-09,63.856658935546875,-0.014768780564748618,0,1000.0,0.0,1000.0
2023-01-10,63.29305648803711,-0.008826055996425275,0,1000.0,0.0,1000.0
2023-01-11,63.35568618774414,0.0009895192803475172,0,1000.0,0.0,1000.0
2023-01-12,62.836814880371094,-0.008189814341769686,0,1000.0,0.0,1000.0
2023-01-13,62.62210464477539,-0.003416949697473859,0,1000.0,0.0,1000.0
2023-01-17,62.37161636352539,-0.0039999978070187625,0,1000.0,0.0,1000.0
2023-01-18,60.2335205078125,-0.034279949444491864,0,1000.0,0.0,1000.0
2023-01-19,60.215633392333984,-0.0002969628095405019,0,1000.0,0.0,1000.0
2023-01-20,60.38560485839844,0.0028227132471896343,0,1000.0,0.0,1000.0
2023-01-23,60.19773864746094,-0.003111109201903939,1,939.8022613525391,60.19773864746094,1000.0
2023-01-24,60.537689208984375,0.005647231426986199,0,939.8022613525391,60.537689208984375,1000.3399505615234
2023-01-25,60.85079574584961,0.005172092641070991,0,939.8022613525391,60.85079574584961,1000.6530570983887
2023-01-26,60.403499603271484,-0.007350703258611535,0,939.8022613525391,60.403499603271484,1000.2057609558105
2023-01-27,60.47506332397461,0.0011847611673687641,0,939.8022613525391,60.47506332397461,1000.2773246765137
2023-01-30,60.91341781616211,0.007248516464367638,1,878.888843536377,121.82683563232422,1000.7156791687012
2023-01-31,61.35177230834961,0.007196353576981451,0,878.888843536377,122.70354461669922,1001.5923881530762
2023-02-01,61.06549835205078,-0.004666107359703298,1,817.8233451843262,183.19649505615234,1001.0198402404785
2023-02-02,60.50189971923828,-0.009229411828644674,1,757.3214454650879,242.00759887695312,999.329044342041
2023-02-03,60.4840087890625,-0.00029570856880201113,1,696.8374366760254,302.4200439453125,999.2574806213379
2023-02-06,61.736454010009766,0.02070704713563476,1,635.1009826660156,370.4187240600586,1005.5197067260742
2023-02-07,60.83290481567383,-0.014635586199839734,1,574.2680778503418,425.8303337097168,1000.0984115600586
2023-02-08,60.117218017578125,-0.011764797361958346,1,514.1508598327637,480.937744140625,995.0886039733887
2023-02-09,60.05459976196289,-0.0010416026835593506,1,454.0962600708008,540.491397857666,994.5876579284668
2023-02-10,60.55557632446289,0.008342018171558996,1,393.5406837463379,605.5557632446289,999.0964469909668
2023-02-13,61.172855377197266,0.01019359553985466,1,332.3678283691406,672.9014091491699,1005.2692375183105
2023-02-14,60.117218017578125,-0.017256630463135747,1,272.2506103515625,721.4066162109375,993.6572265625
2023-02-15,60.09933090209961,-0.00029753731241000114,1,212.1512794494629,781.2913017272949,993.4425811767578
2023-02-16,59.79517364501953,-0.005060909206718867,1,152.35610580444336,837.1324310302734,989.4885368347168
2023-02-17,61.172855377197266,0.02304001557644919,0,152.35610580444336,856.4199752807617,1008.7760810852051
2023-02-21,61.646995544433594,0.007750826151774914,0,152.35610580444336,863.0579376220703,1015.4140434265137
2023-02-22,61.01182556152344,-0.010303340451560894,0,152.35610580444336,854.1655578613281,1006.5216636657715
2023-02-23,61.020774841308594,0.00014668106883863885,0,152.35610580444336,854.2908477783203,1006.6469535827637
2023-02-24,60.546634674072266,-0.00777014334002446,0,152.35610580444336,847.6528854370117,1000.0089912414551
2023-02-27,60.39455032348633,-0.0025118547282539927,1,91.96155548095703,905.9182548522949,997.879810333252
2023-02-28,59.51011657714844,-0.014644264119869632,0,91.96155548095703,892.6517486572266,984.6133041381836
2023-03-01,58.89642333984375,-0.01031241867101873,1,33.06513214111328,942.3427734375,975.4079055786133
2023-03-02,59.2213134765625,0.005516296547314337,0,33.06513214111328,947.541015625,980.6061477661133
2023-03-03,58.96862030029297,-0.004266929614277104,0,33.06513214111328,943.4979248046875,976.5630569458008
2023-03-06,58.75202560424805,-0.0036730500890461704,0,33.06513214111328,940.0324096679688,973.097541809082
2023-03-07,58.24663162231445,-0.00860215416806076,0,33.06513214111328,931.9461059570312,965.0112380981445
2023-03-08,58.409080505371094,0.0027889833031031763,0,33.06513214111328,934.5452880859375,967.6104202270508
2023-03-09,57.867584228515625,-0.009270755029360145,0,33.06513214111328,925.88134765625,958.9464797973633
2023-03-10,57.660011291503906,-0.003587033047587118,0,33.06513214111328,922.5601806640625,955.6253128051758
2023-03-13,57.99393081665039,0.005791180363429627,0,33.06513214111328,927.9028930664062,960.9680252075195
2023-03-14,58.34590148925781,0.006069094949266107,0,33.06513214111328,933.534423828125,966.5995559692383
2023-03-15,58.89642333984375,0.00943548452477505,0,33.06513214111328,942.3427734375,975.4079055786133
2023-03-16,58.634700775146484,-0.004443776885857287,0,33.06513214111328,938.1552124023438,971.220344543457
2023-03-17,58.427127838134766,-0.0035401039703045756,0,33.06513214111328,934.8340454101562,967.8991775512695
2023-03-20,58.67982482910156,0.004324994233275703,0,33.06513214111328,938.877197265625,971.9423294067383
2023-03-21,58.79714584350586,0.001999341592207937,0,33.06513214111328,940.7543334960938,973.819465637207
2023-03-22,58.20150375366211,-0.010130459247615686,0,33.06513214111328,931.2240600585938,964.289192199707
2023-03-23,58.300777435302734,0.0017056892904485643,0,33.06513214111328,932.8124389648438,965.877571105957
2023-03-24,59.085941314697266,0.01346746842725799,0,33.06513214111328,945.3750610351562,978.4401931762695
2023-03-27,59.41083908081055,0.005498732166808518,-1,92.47597122192383,891.1625862121582,983.638557434082
2023-03-28,59.82598114013672,0.006987648478781638,1,32.64999008178711,957.2156982421875,989.8656883239746
2023-03-29,60.00648498535156,0.003017148098115374,0,32.64999008178711,960.103759765625,992.7537498474121
2023-03-30,60.15990447998047,0.002556715239467211,-1,92.80989456176758,902.398567199707,995.2084617614746
2023-03-31,60.43064880371094,0.004500411462929899,-1,153.24054336547852,846.0290832519531,999.2696266174316
2023-04-03,60.56602478027344,0.002240187375816882,0,153.24054336547852,847.9243469238281,1001.1648902893066
2023-04-04,60.72847366333008,0.002682178393678347,0,153.24054336547852,850.1986312866211,1003.4391746520996
2023-04-05,61.39631271362305,0.01099713215246223,0,153.24054336547852,859.5483779907227,1012.7889213562012
2023-04-06,61.36022186279297,-0.0005878341749677718,0,153.24054336547852,859.0431060791016,1012.2836494445801
2023-04-10,61.170692443847656,-0.0030887994402809538,0,153.24054336547852,856.3896942138672,1009.6302375793457
2023-04-11,61.71218490600586,0.008852155182897059,0,153.24054336547852,863.970588684082,1017.2111320495605
